date,city,co_mean,co_aqi,no2_mean,no2_aqi,so2_mean,so2_aqi,pm2_5_mean,pm2_5_aqi,o3_mean,o3_aqi,temp,humidity,windspeed,max_aqi,year,Main_Pollutant,aqi_level_bin,aqi_level
1/1/2020,Bronx,0.2,2,16.25,17,0.55,0,4.68,42,0.02,19,38.2,50.3,18.6,42,2020,PM2.5,0,healthy
1/2/2020,Bronx,0.5,6,39.95,38,2.7,4,11.85,59,,,41.3,52.2,10.7,59,2020,PM2.5,1,unhealthy
1/3/2020,Bronx,0.6,7,36.95,36,1.4,1,16.23,68,0,1,46.8,79.2,6.5,68,2020,PM2.5,1,unhealthy
1/4/2020,Bronx,0.7,8,27.9,28,1.2,1,11.93,58,0.02,22,47.4,89.8,16.4,58,2020,PM2.5,1,unhealthy
1/5/2020,Bronx,0.3,3,20.35,19,0.6,0,4.43,37,0.03,26,38.6,52.1,28.1,37,2020,PM2.5,0,healthy
1/6/2020,Bronx,0.3,3,34.95,34,1.7,1,9.48,54,0.02,16,38.6,62.2,17.1,54,2020,PM2.5,1,unhealthy
1/7/2020,Bronx,0.4,5,37.4,36,2.6,3,8.1,51,0.01,11,39.9,50,11.8,51,2020,PM2.5,1,unhealthy
1/8/2020,Bronx,0.3,3,28.15,28,1.45,1,8.07,48,0.03,25,35.2,57.9,20.3,48,2020,PM2.5,0,healthy
1/9/2020,Bronx,0.3,3,40.2,40,1.7,3,6.12,44,,,29,40.1,21.5,44,2020,PM2.5,0,healthy
1/10/2020,Bronx,0.5,6,40.1,39,1.45,1,8.22,55,0.01,8,44.2,68,11.8,55,2020,PM2.5,1,unhealthy
1/11/2020,Bronx,0.4,5,39.5,39,1.55,3,10.45,56,0.03,24,57.2,73.3,17.1,56,2020,PM2.5,1,unhealthy
1/12/2020,Bronx,0.2,2,14.1,16,0.55,0,6.38,46,0.03,28,60.4,59.3,21.8,46,2020,PM2.5,0,healthy
1/13/2020,Bronx,0.4,5,27.1,27,0.7,0,9.15,54,0.01,6,41.5,74.9,10.7,54,2020,PM2.5,1,unhealthy
1/14/2020,Bronx,0.4,5,25.35,26,0.8,0,13,63,0,4,41.2,84.4,10.2,63,2020,PM2.5,1,unhealthy
1/15/2020,Bronx,0.5,6,39,40,1.6,3,12.8,62,0.02,19,45.7,67.5,13,62,2020,PM2.5,1,unhealthy
1/16/2020,Bronx,0.5,6,23.65,25,0.75,0,8.54,52,0.03,24,43.3,65.5,24.5,52,2020,PM2.5,1,unhealthy
1/17/2020,Bronx,0.2,2,14.35,14,1.05,1,5.05,39,0.03,29,26.7,37.8,27.7,39,2020,PM2.5,0,healthy
1/18/2020,Bronx,0.3,3,43.35,42,1.25,1,5.9,36,0.02,16,25.9,60.9,18.2,42,2020,NO2,0,healthy
1/19/2020,Bronx,0.3,3,20.15,21,0.75,0,6.96,46,0.03,27,38.1,62.3,21.8,46,2020,PM2.5,0,healthy
1/20/2020,Bronx,0.2,2,16.2,18,1.55,1,4.78,38,0.03,30,25.8,41.5,21,38,2020,PM2.5,0,healthy
